Original Data	Log Sales	Trendless and Seasonless	Only Seasonless	Moving Avg	Global Polynomial fit	MA order 7
"1,605,538"	14.28896946	0.0983	13.9327	13.83437779	13.62587109	13.83548293
"1,470,581"	14.20116812	0.1215	13.9643	13.84275593	13.62624687	13.84207936
"844,043"	13.64595872	-0.0864	13.765	13.85140953	13.62662254	13.85609598
"767,576"	13.55099278	-0.0268	13.8353	13.86214305	13.6269981	13.8781775
"962,119"	13.77689342	-0.0462	13.8239	13.8701039	13.62737354	13.86828207
"1,264,532"	14.05021265	0.0167	13.8952	13.87854273	13.62774887	13.86475923
"1,157,982"	13.96218939	0.0522	13.931	13.87879054	13.62812408	13.87922752
"958,471"	13.77309459	-0.0045	13.8635	13.86792354	13.62849917	13.88841108
"861,538"	13.66647444	0.0785	13.9396	13.86109431	13.62887415	13.89591862
"792,397"	13.58281781	0.0038	13.8662	13.86244727	13.62924901	13.88783944
"1,106,894"	13.91706845	0.0337	13.8996	13.86586837	13.62962376	13.86877995
"1,435,017"	14.17668725	0.0095	13.8764	13.86695045	13.62999839	13.85511321
"1,461,375"	14.19488833	-0.026	13.8386	13.86466836	13.63037291	13.84444751
"1,244,745"	14.03444125	-0.0643	13.7975	13.86182576	13.63074731	13.84588732
"846,431"	13.64878397	-0.0879	13.7678	13.8557064	13.6311216	13.84147617
"790,672"	13.5806385	0.0161	13.8649	13.84883433	13.63149577	13.84522802
"1,013,940"	13.82935429	0.0376	13.8763	13.83869034	13.63186983	13.84306656
"1,231,473"	14.02372157	0.0385	13.8687	13.83021027	13.63224377	13.84808738
"1,125,694"	13.93391029	0.0701	13.9027	13.83254753	13.63261759	13.85386514
"920,941"	13.73315125	-0.0152	13.8235	13.83867451	13.6329913	13.83232114
"774,175"	13.55955323	-0.0163	13.8327	13.84896391	13.6333649	13.82975221
"747,739"	13.52480927	-0.0526	13.8082	13.86080177	13.63373838	13.836053
"919,533"	13.73162121	-0.153	13.7141	13.86716083	13.63411174	13.83144464
"1,409,313"	14.15861291	-0.0093	13.8583	13.86759649	13.63448499	13.84835075
"1,573,884"	14.26905701	0.0502	13.9128	13.86260437	13.63485813	13.86867981
"1,338,848"	14.1073201	0.0074	13.8704	13.86302957	13.63523114	13.88448875
"1,007,367"	13.82285055	0.0709	13.9419	13.87096202	13.63560405	13.90198154
"882,647"	13.69068063	0.0954	13.975	13.87953651	13.63597683	13.89578814
"1,058,041"	13.87192964	0.0197	13.9189	13.89914921	13.63634951	13.89701629
"1,192,547"	13.99160191	-0.0867	13.8366	13.92324384	13.63672206	13.90483766
"1,031,185"	13.84621918	-0.1225	13.815	13.93748647	13.6370945	13.90193521
"1,015,658"	13.83104724	-0.0281	13.9214	13.9495459	13.63746683	13.91572801
"849,188"	13.65203588	-0.0394	13.9252	13.96452845	13.63783904	13.93862995
"837,448"	13.63811445	-0.0481	13.9215	13.96962038	13.63821114	13.96679807
"1,314,571"	14.08902093	0.1098	14.0715	13.96168766	13.63858312	13.99878481
"1,757,643"	14.37948426	0.1171	14.0792	13.96211382	13.63895498	14.02900673
"1,776,239"	14.39000877	0.0657	14.0338	13.96802504	13.63932673	14.02628106
"1,584,524"	14.2757946	0.0717	14.0389	13.96719018	13.63969837	14.00854859
"1,219,507"	14.01395724	0.1649	14.133	13.96807618	13.64006988	13.99380034
"823,880"	13.62178017	-0.0646	13.9061	13.97067588	13.64044129	13.95750487
"937,006"	13.75044496	-0.1677	13.7974	13.96511963	13.64081258	13.93714083
"1,360,434"	14.12331432	0.0149	13.9683	13.953394	13.64118375	13.9282455
"1,041,712"	13.85637607	-0.1234	13.8251	13.9485256	13.64155481	13.89960429
"985,450"	13.80085367	-0.0581	13.8912	13.94931301	13.64192575	13.90262779
"894,029"	13.70349349	0.0344	13.9766	13.94224216	13.64229657	13.92329476
"846,656"	13.64904975	-0.0031	13.9325	13.93558806	13.64266729	13.93554509
"1,137,946"	13.94473544	-0.011	13.9272	13.93824842	13.64303788	13.96588227
"1,532,414"	14.24235483	0.0067	13.9421	13.93535359	13.64340836	13.97637321
"1,812,643"	14.41029656	0.12	14.054	13.93409734	13.64377873	13.96752676
"1,582,323"	14.27440458	0.1022	14.0375	13.93529486	13.64414898	13.95612303
"1,030,595"	13.84564686	0.0341	13.9646	13.93052632	13.64451911	13.94417091
"831,006"	13.63039229	-0.0164	13.9147	13.93108899	13.64488913	13.94097432
"990,219"	13.80568141	-0.0843	13.8526	13.93691227	13.64525904	13.90830883
"1,200,924"	13.99860182	-0.0992	13.8436	13.94276672	13.64562882	13.89266601
"1,145,027"	13.95093878	-0.0261	13.9197	13.94580746	13.6459985	13.89694433
"922,674"	13.73503125	-0.1261	13.8254	13.95148045	13.64636806	13.90982787
"851,599"	13.65487104	-0.0335	13.928	13.96145251	13.6467375	13.93158598
"900,924"	13.71117618	0.0237	13.9946	13.97087742	13.64710683	13.96309574
"1,229,807"	14.0223678	0.0187	14.0049	13.98619528	13.64747604	13.99793082
"1,631,857"	14.30522919	-0.0043	14.005	14.00925653	13.64784513	14.03400805
"1,831,050"	14.42040013	0.0399	14.0642	14.02420196	13.64821412	14.04823856
"1,794,887"	14.40045263	0.1312	14.1635	14.03234944	13.64858298	14.0643471
"1,154,212"	13.95892842	0.0352	14.0779	14.04275886	13.64895173	14.08398429
"930,343"	13.74330861	-0.0222	14.0276	14.0497814	13.64932037	14.0803675
"1,277,472"	14.06039368	0.0548	14.1074	14.05253502	13.64968889	14.065631
"1,619,065"	14.29735938	0.0888	14.1423	14.05350825	13.65005729	14.0482984
"1,215,750"	14.01087173	-0.0753	13.9796	14.05488518	13.65042558	14.04415384
"1,056,675"	13.87063774	-0.0898	13.961	14.0507893	13.65079375	14.04258729
"954,641"	13.76909063	0.0005	14.0422	14.04176772	13.65116181	14.02961387
"951,217"	13.7654975	0.0155	14.0489	14.03340791	13.65152976	14.02150894
"1,244,362"	14.03413351	-0.0047	14.0166	14.02138151	13.65189758	14.03067422
"1,650,883"	14.31682085	0.0092	14.0165	14.00732254	13.6522653	14.0335559
"1,870,759"	14.44185479	0.0855	14.0856	14.00009872	13.65263289	14.0166303
"1,592,311"	14.28069698	0.0412	14.0438	14.00259029	13.65300038	13.99858432
"1,047,761"	13.86216606	-0.0265	13.9812	14.00766118	13.65336774	13.99473283
"838,555"	13.63943545	-0.0884	13.9237	14.01212619	13.65373499	13.98650058
"1,061,967"	13.87563341	-0.0914	13.9226	14.01400916	13.65410213	13.98020114
"1,389,847"	14.14470423	-0.0227	13.9897	14.01241549	13.65446915	13.98586039
"1,190,823"	13.99015522	-0.0506	13.9589	14.00952549	13.65483606	14.00496373
"1,145,271"	13.95115185	0.0299	14.0415	14.01158006	13.65520284	14.01526741
"994,781"	13.81027789	0.0596	14.0834	14.02384286	13.65556952	14.02619308
"1,016,088"	13.83147052	0.0773	14.1149	14.0375564	13.65593608	14.0324827
"1,218,769"	14.01335189	-0.0517	13.9959	14.04760701	13.65630252	14.05906504
"1,622,298"	14.29935422	-0.0545	13.9991	14.05359287	13.65666885	14.07803105
"1,776,155"	14.38996147	-0.0279	14.0337	14.06165289	13.65703506	14.07465307
"1,761,894"	14.38189992	0.0737	14.145	14.07125254	13.65740116	14.0622101
"1,270,944"	14.05527049	0.1019	14.1743	14.07234757	13.65776714	14.06682261
"960,737"	13.77545598	-0.0106	14.0598	14.07040627	13.65813301	14.08322476
"1,179,767"	13.98082752	-0.0428	14.0278	14.07063817	13.65849876	14.09511258
"1,444,351"	14.18317064	-0.0428	14.0282	14.07098357	13.6588644	14.0792947
"1,390,438"	14.14512936	0.0418	14.1139	14.07207453	13.65922992	14.07117538
"1,234,985"	14.02656938	0.0465	14.1169	14.07043136	13.65959533	14.06247895
"947,082"	13.76114096	-0.0259	14.0343	14.06020087	13.65996062	14.05912975
"1,018,678"	13.83401627	0.0661	14.1174	14.05136726	13.66032579	14.06291174
"1,222,455"	14.01637169	-0.0536	13.9989	14.05251339	13.66069085	14.05873362
"1,630,870"	14.30462417	-0.0508	14.0043	14.05516548	13.6610558	14.04047101
"1,813,691"	14.41087455	-0.0009	14.0546	14.05552614	13.66142062	14.04028063
"1,658,710"	14.32155075	0.0317	14.0846	14.05299441	13.66178534	14.03523554
"1,056,094"	13.87008775	-0.0614	13.9891	14.05053579	13.66214994	14.04074795
"935,309"	13.74863223	-0.0168	14.0329	14.04973599	13.66251442	14.05630249
"1,245,638"	14.03515841	0.0284	14.0821	14.05371029	13.66287879	14.05661729
"1,457,874"	14.19248977	-0.0215	14.0375	14.05895878	13.66324304	14.0495766
"1,389,516"	14.14446604	0.057	14.1132	14.05619636	13.66360718	14.06501392
"1,162,951"	13.9664713	0.0071	14.0568	14.04971471	13.6639712	14.07667364
"948,116"	13.76223214	-0.0172	14.0354	14.05259103	13.6643351	14.06703355
"998,221"	13.81372997	0.0353	14.0972	14.06181573	13.66469889	14.0585424
"1,372,358"	14.13204099	0.0513	14.1146	14.06327683	13.66506257	14.04317805
"1,647,746"	14.31491885	-0.0488	14.0146	14.06343772	13.66542613	14.05464356
"1,679,962"	14.33428173	-0.0858	13.978	14.06383926	13.66578958	14.06478216
"1,532,765"	14.24258385	-0.0572	14.0057	14.06284505	13.66615291	14.05715973
"1,224,553"	14.01808644	0.0705	14.1371	14.06658207	13.66651612	14.05217495
"1,006,537"	13.82202628	0.0357	14.1063	14.07060022	13.66687922	14.06160856
"1,198,799"	13.99683078	-0.0297	14.0438	14.07348789	13.6672422	14.07410673
"1,520,696"	14.23467868	-0.0015	14.0797	14.08113147	13.66760507	14.08991813
"1,345,013"	14.11191424	-0.0126	14.0807	14.09330215	13.66796782	14.08641819
"1,173,102"	13.97516208	-0.0436	14.0655	14.10915458	13.66833046	14.09528822
"1,028,107"	13.84322981	-0.0087	14.1164	14.12508945	13.66869298	14.10963486
"1,013,751"	13.82916787	-0.0209	14.1126	14.13353173	13.66905539	14.11833344
"1,448,309"	14.18590723	0.0281	14.1684	14.14029776	13.66941768	14.13875383
"1,875,711"	14.44449835	-0.0013	14.1442	14.14553234	13.66977986	14.17247716
"1,976,422"	14.4967987	-0.0042	14.1406	14.14478599	13.67014192	14.17649025
"1,906,015"	14.46052523	0.076	14.2236	14.14759539	13.67050386	14.18441465
"1,443,501"	14.18258197	0.1478	14.3016	14.15376376	13.67086569	14.17192957
